target_age_group,target_gender,product_color,price_range,ad_effectiveness,sales_success
18-24,Male,Red,Medium,8.0,1.0
25-34,Female,Blue,High,9.0,1.0
35-44,Unisex,Black,Low,6.0,0.0
45-54,Male,Green,High,7.0,1.0
25-34,Female,Yellow,Medium,8.0,0.0
18-24,Unisex,Blue,Low,5.0,1.0
35-44,Male,Red,High,9.0,1.0
45-54,Female,Black,Medium,6.0,0.0
25-34,Male,Pink,Low,4.0,0.0
18-24,Female,Yellow,Medium,7.0,1.0
35-44,Unisex,White,High,8.0,1.0
45-54,Male,Blue,Low,5.0,0.0
25-34,Female,Green,High,9.0,1.0
18-24,Male,Black,Medium,6.0,1.0
35-44,Female,Pink,Low,3.0,0.0
45-54,Unisex,Red,High,9.0,1.0
25-34,Male,Yellow,Medium,7.0,0.0
18-24,Female,White,High,8.0,1.0
35-44,Unisex,Blue,Low,4.0,0.0
45-54,Male,Pink,Medium,6.0,1.0
18-24,Male,Red,Medium,8.0,1.0
18-24,Female,Blue,High,7.0,1.0
